"seqnames","start","end","width","strand","Proportion"
"NC_003071.7",8101006,8251005,150000,"*",0.000508200156379649
"NC_003071.7",8251006,8401005,150000,"*",0.00737135100947313
"NC_003071.7",8401006,8551005,150000,"*",0.00132616113462366
"NC_003071.7",8551006,8701005,150000,"*",0.00961018305415071
"NC_003071.7",8701006,8851005,150000,"*",0.00747677631332727
"NC_003071.7",8851006,9001005,150000,"*",0.00528440490973268
"NC_003071.7",9001006,9151005,150000,"*",0.00694161825928703
"NC_003071.7",9151006,9301005,150000,"*",0.00962918880996815
"NC_003071.7",9301006,9451005,150000,"*",0.00301024322129703
"NC_003071.7",9451006,9601005,150000,"*",0.00238747679212944
"NC_003071.7",9601006,9751005,150000,"*",0.00112483402081381
"NC_003071.7",9751006,9901005,150000,"*",0.00194990764572911
"NC_003071.7",9901006,10051005,150000,"*",0.00399409664536508
"NC_003071.7",10051006,10201005,150000,"*",0.00652789917181527
"NC_003071.7",10201006,10351005,150000,"*",0.000412874399189281
"NC_003071.7",10351006,10501005,150000,"*",0.00587385371211181
"NC_003071.7",10501006,10651005,150000,"*",0.0275495376521058
"NC_003071.7",10651006,10801005,150000,"*",0.000953454130212514
"NC_003071.7",10801006,10951005,150000,"*",0.00188355168343454
"NC_003071.7",10951006,11101005,150000,"*",0.00150426029029719
"NC_003071.7",11101006,11251005,150000,"*",0.00264883487152265
"NC_003071.7",11251006,11401005,150000,"*",0.00231425492492401
"NC_003071.7",11401006,11551005,150000,"*",0.00042106061678316
"NC_003071.7",11551006,11701005,150000,"*",0.00207703338641828
"NC_003071.7",11701006,11851005,150000,"*",0.00437759604329403
"NC_003071.7",11851006,12001005,150000,"*",0.00159860806743213
"NC_003071.7",12001006,12151005,150000,"*",0.00177763682942276
"NC_003071.7",12151006,12301005,150000,"*",0.00188436542562883
"NC_003071.7",12301006,12451005,150000,"*",0.00498306621300464
"NC_003071.7",12451006,12601005,150000,"*",0.00660098733430888
"NC_003071.7",12601006,12751005,150000,"*",0.00462629636946708
"NC_003071.7",12751006,12901005,150000,"*",0.00143227028327536
"NC_003071.7",12901006,13051005,150000,"*",0.000899366451033647
"NC_003071.7",13051006,13201005,150000,"*",0.00131435653021268
"NC_003071.7",13201006,13351005,150000,"*",0.00565230021691416
"NC_003071.7",13351006,13501005,150000,"*",0.00128676730044317
"NC_003071.7",13501006,13651005,150000,"*",-0.000148592764584438
"NC_003071.7",13651006,13801005,150000,"*",0.00183293120192294
"NC_003071.7",13801006,13951005,150000,"*",-0.000506061038672583
"NC_003071.7",13951006,14101005,150000,"*",0.000284634860851594
"NC_003071.7",14101006,14251005,150000,"*",-0.000252807424215292
"NC_003071.7",14251006,14401005,150000,"*",0.000127516921612359
"NC_003071.7",14401006,14551005,150000,"*",0.00597536299742228
"NC_003071.7",14551006,14701005,150000,"*",0.00067832584850562
"NC_003071.7",14701006,14851005,150000,"*",-0.000902397373247463
"NC_003071.7",14851006,15001005,150000,"*",-0.000226570782652851
"NC_003071.7",15001006,15151005,150000,"*",-0.00101043844991125
"NC_003071.7",15151006,15301005,150000,"*",-0.000489771448848956
"NC_003071.7",15301006,15451005,150000,"*",0.00184091808604784
"NC_003071.7",15451006,15601005,150000,"*",0.00202121394976238
"NC_003071.7",15601006,15751005,150000,"*",0.0019365379807393
"NC_003071.7",15751006,15901005,150000,"*",-0.001189274201245
"NC_003071.7",15901006,16051005,150000,"*",0.00467969996935806
"NC_003071.7",16051006,16201005,150000,"*",-0.000229952957421937
"NC_003071.7",16201006,16351005,150000,"*",0.000478449402094147
"NC_003071.7",16351006,16501005,150000,"*",-0.000504733987157648
"NC_003071.7",16501006,16651005,150000,"*",0.000183091442896553
"NC_003071.7",16651006,16801005,150000,"*",-0.000713686034668002
"NC_003071.7",16801006,16951005,150000,"*",0.00103711880403433
"NC_003071.7",16951006,17101005,150000,"*",0.00225573577744697
"NC_003071.7",17101006,17251005,150000,"*",-0.000291901621441846
"NC_003071.7",17251006,17401005,150000,"*",0.010193223345204
"NC_003071.7",17401006,17551005,150000,"*",0.00135282799887872
"NC_003071.7",17551006,17701005,150000,"*",-0.000250346122701238
"NC_003071.7",17701006,17851005,150000,"*",1.63619500478376e-05
"NC_003071.7",17851006,18001005,150000,"*",-0.000845603716064172
"NC_003071.7",18001006,18151005,150000,"*",-0.00019007678254734
"NC_003071.7",18151006,18301005,150000,"*",0.000485396333905077
"NC_003071.7",18301006,18451005,150000,"*",-0.000167408983470447
"NC_003071.7",18451006,18601005,150000,"*",0.00154821323813227
"NC_003071.7",18601006,18751005,150000,"*",0.00748777180159526
"NC_003071.7",18751006,18901005,150000,"*",0.000161403699922433
"NC_003071.7",18901006,19051005,150000,"*",-1.61968841007141e-05
"NC_003071.7",19051006,19201005,150000,"*",1.55945747009056e-05
"NC_003071.7",19201006,19351005,150000,"*",6.19678105346633e-05
"NC_003071.7",19351006,19501005,150000,"*",0.000129549901181603
"NC_003071.7",19501006,19651005,150000,"*",-0.000391187862929939
"NC_003074.8",101,150100,150000,"*",0.00015642235505044
"NC_003074.8",150101,300100,150000,"*",-8.35247910892355e-05
"NC_003074.8",300101,450100,150000,"*",-0.000283372826243429
"NC_003074.8",450101,600100,150000,"*",0.000572553939288376
"NC_003074.8",600101,750100,150000,"*",-0.000947762175234653
"NC_003074.8",750101,900100,150000,"*",0.00156188365880488
"NC_003074.8",900101,1050100,150000,"*",-0.000563884614166212
"NC_003074.8",1050101,1200100,150000,"*",0.000626913122123965
"NC_003074.8",1200101,1350100,150000,"*",-0.000534103879386309
"NC_003074.8",1350101,1500100,150000,"*",-0.000429682463923737
"NC_003074.8",1500101,1650100,150000,"*",0.00628193341435651
"NC_003074.8",1650101,1800100,150000,"*",-0.000543548084053505
"NC_003074.8",1800101,1950100,150000,"*",-0.000960105965254309
"NC_003074.8",1950101,2100100,150000,"*",-0.00210018723778677
"NC_003074.8",2100101,2250100,150000,"*",-0.000874739964726173
"NC_003074.8",2250101,2400100,150000,"*",6.09395388672072e-05
"NC_003074.8",2400101,2550100,150000,"*",0.000176388608607428
"NC_003074.8",2550101,2700100,150000,"*",-0.000134738576706307
"NC_003074.8",2700101,2850100,150000,"*",0.00206815700605344
"NC_003074.8",2850101,3000100,150000,"*",8.69871495844925e-05
"NC_003074.8",3000101,3150100,150000,"*",-0.000156937934765788
"NC_003074.8",3150101,3300100,150000,"*",-0.000334245139185477
"NC_003074.8",3300101,3450100,150000,"*",0.00205645513767256
"NC_003074.8",3450101,3600100,150000,"*",-0.00015385370066476
"NC_003074.8",3600101,3750100,150000,"*",-0.00022042277571038
"NC_003074.8",3750101,3900100,150000,"*",0.00283132980614582
"NC_003074.8",3900101,4050100,150000,"*",-0.000740627001431366
"NC_003074.8",4050101,4200100,150000,"*",-0.000834356569026063
"NC_003074.8",4200101,4350100,150000,"*",0.00631265762874057
"NC_003074.8",4350101,4500100,150000,"*",0.00124979989688306
"NC_003074.8",4500101,4650100,150000,"*",0.00168579511154647
"NC_003074.8",4650101,4800100,150000,"*",-0.000113086584787385
